timestamp, power.draw [W] - P100, power.limit [W] - P100, power.management - P100
22:05.0, 130.78 W, 250.00 W, Enabled
22:10.0, 166.78 W, 250.00 W, Enabled
22:15.0, 119.46 W, 250.00 W, Enabled
22:20.0, 129.99 W, 250.00 W, Enabled
22:25.0, 156.63 W, 250.00 W, Enabled
22:30.0, 153.47 W, 250.00 W, Enabled
22:35.0, 155.65 W, 250.00 W, Enabled
22:40.0, 153.31 W, 250.00 W, Enabled
22:45.0, 148.48 W, 250.00 W, Enabled
22:50.0, 159.76 W, 250.00 W, Enabled
22:55.1, 158.64 W, 250.00 W, Enabled
23:00.1, 124.01 W, 250.00 W, Enabled
23:05.1, 171.36 W, 250.00 W, Enabled
23:10.1, 120.12 W, 250.00 W, Enabled
23:15.1, 125.22 W, 250.00 W, Enabled
23:20.1, 169.93 W, 250.00 W, Enabled
23:25.1, 113.70 W, 250.00 W, Enabled
23:30.1, 156.13 W, 250.00 W, Enabled
23:35.1, 149.93 W, 250.00 W, Enabled
23:40.1, 118.73 W, 250.00 W, Enabled
23:45.1, 163.31 W, 250.00 W, Enabled
23:50.1, 142.58 W, 250.00 W, Enabled
23:55.1, 162.42 W, 250.00 W, Enabled
24:00.1, 112.19 W, 250.00 W, Enabled
24:05.1, 169.12 W, 250.00 W, Enabled
24:10.1, 127.41 W, 250.00 W, Enabled
24:15.1, 105.92 W, 250.00 W, Enabled
24:20.1, 132.42 W, 250.00 W, Enabled
24:25.1, 167.26 W, 250.00 W, Enabled
24:30.1, 99.68 W, 250.00 W, Enabled
24:35.1, 171.02 W, 250.00 W, Enabled
24:40.2, 146.38 W, 250.00 W, Enabled
24:45.2, 90.25 W, 250.00 W, Enabled
24:50.2, 162.91 W, 250.00 W, Enabled
24:55.2, 153.32 W, 250.00 W, Enabled
25:00.2, 130.24 W, 250.00 W, Enabled
25:05.2, 168.79 W, 250.00 W, Enabled
25:10.2, 103.26 W, 250.00 W, Enabled
25:15.2, 130.23 W, 250.00 W, Enabled
25:20.2, 167.18 W, 250.00 W, Enabled
25:25.2, 122.86 W, 250.00 W, Enabled
25:30.2, 156.69 W, 250.00 W, Enabled
25:35.2, 144.45 W, 250.00 W, Enabled
25:40.2, 97.43 W, 250.00 W, Enabled
25:45.2, 158.64 W, 250.00 W, Enabled
25:50.2, 158.58 W, 250.00 W, Enabled
25:55.2, 120.85 W, 250.00 W, Enabled
26:00.2, 167.49 W, 250.00 W, Enabled
26:05.2, 152.36 W, 250.00 W, Enabled
26:10.2, 118.97 W, 250.00 W, Enabled
26:15.2, 172.09 W, 250.00 W, Enabled
26:20.2, 157.84 W, 250.00 W, Enabled
26:25.3, 158.31 W, 250.00 W, Enabled
26:30.3, 109.82 W, 250.00 W, Enabled
26:35.3, 175.48 W, 250.00 W, Enabled
26:40.3, 142.02 W, 250.00 W, Enabled
26:45.3, 128.62 W, 250.00 W, Enabled
26:50.3, 164.83 W, 250.00 W, Enabled
26:55.3, 125.94 W, 250.00 W, Enabled
27:00.3, 160.01 W, 250.00 W, Enabled
27:05.3, 157.91 W, 250.00 W, Enabled
27:10.3, 99.19 W, 250.00 W, Enabled
