timestamp, pstate, clocks.current.sm [MHz], clocks.max.sm [MHz], clocks.current.memory [MHz], clocks.max.memory [MHz], memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], power.management
2025/04/13 21:36:56.283, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 94 %, 21 %, 48, 128.97 W, 250.00 W, Enabled
2025/04/13 21:37:01.287, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 23 %, 48, 108.17 W, 250.00 W, Enabled
2025/04/13 21:37:06.291, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 90 %, 25 %, 49, 116.66 W, 250.00 W, Enabled
2025/04/13 21:37:11.296, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 91 %, 25 %, 49, 78.62 W, 250.00 W, Enabled
2025/04/13 21:37:16.307, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 94 %, 22 %, 49, 81.38 W, 250.00 W, Enabled
2025/04/13 21:37:21.312, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 20 %, 49, 109.20 W, 250.00 W, Enabled
2025/04/13 21:37:26.315, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 89 %, 26 %, 49, 118.54 W, 250.00 W, Enabled
2025/04/13 21:37:31.320, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 95 %, 20 %, 50, 121.93 W, 250.00 W, Enabled
2025/04/13 21:37:36.324, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 95 %, 21 %, 50, 127.23 W, 250.00 W, Enabled
2025/04/13 21:37:41.328, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 25 %, 50, 102.09 W, 250.00 W, Enabled
2025/04/13 21:37:46.333, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 96 %, 23 %, 50, 96.36 W, 250.00 W, Enabled
2025/04/13 21:37:51.338, P0, 1328 MHz, 1328 MHz, 715 MHz, 715 MHz, 12288 MiB, 1940 MiB, 10253 MiB, 93 %, 26 %, 50, 122.71 W, 250.00 W, Enabled
